{321, 0.345012}
{322, 0.344986}
{323, 0.344973}
{324, 0.344973}
{325, 0.344973}
{326, 0.344896}
{327, 0.344890}
{328, 0.344887}
{329, 0.344810}
{330, 0.344667}
{331, 0.344639}
{332, 0.344616}
{333, 0.344615}
{334, 0.344610}
{335, 0.344608}
{336, 0.344543}
{337, 0.344543}
{338, 0.344528}
{339, 0.344521}
{340, 0.344499}
{341, 0.344493}
{342, 0.344487}
{343, 0.344486}
{344, 0.344486}
{345, 0.344465}
{346, 0.344464}
{347, 0.344349}
{348, 0.344267}
{349, 0.344253}
{350, 0.344096}
{351, 0.344095}
{352, 0.344093}
{353, 0.344065}
{354, 0.343980}
{355, 0.343960}
{356, 0.343958}
{357, 0.343956}
{358, 0.343789}
{359, 0.343736}
{360, 0.343735}
{361, 0.343729}
{362, 0.343642}
{363, 0.343640}
{364, 0.343600}
{365, 0.343599}
{366, 0.343592}
{367, 0.343590}
{368, 0.343589}
{369, 0.343562}
{370, 0.343546}
{371, 0.343536}
{372, 0.343454}
{373, 0.343439}
{374, 0.343410}
{375, 0.343298}
{376, 0.343298}
{377, 0.343277}
{378, 0.343277}
{379, 0.343120}
{380, 0.343115}
{381, 0.343109}
{382, 0.342935}
{383, 0.342864}
{384, 0.342855}
{385, 0.342818}
{386, 0.342817}
{387, 0.342754}
{388, 0.342749}
{389, 0.342747}
{390, 0.342721}
{391, 0.342707}
{392, 0.342699}
{393, 0.342590}
{394, 0.342589}
{395, 0.342445}
{396, 0.342445}
{397, 0.342445}
{398, 0.342444}
{399, 0.342439}
{400, 0.342439}
{401, 0.342412}
{402, 0.342410}
{403, 0.342409}
{404, 0.342396}
{405, 0.342394}
{406, 0.342387}
{407, 0.342375}
{408, 0.342368}
{409, 0.342368}
{410, 0.342353}
{411, 0.342341}
{412, 0.342340}
{413, 0.342339}
{414, 0.342332}
{415, 0.342306}
{416, 0.342298}
{417, 0.342283}
{418, 0.342268}
{419, 0.342231}
{420, 0.342231}
{421, 0.342187}
{422, 0.342175}
{423, 0.342172}
{424, 0.342171}
{425, 0.342171}
{426, 0.342165}
{427, 0.342107}
{428, 0.342099}
{429, 0.342088}
{430, 0.342085}
{431, 0.342080}
{432, 0.342063}
{433, 0.342015}
{434, 0.342013}
{435, 0.342004}
{436, 0.342001}
{437, 0.341996}
{438, 0.341984}
{439, 0.341982}
{440, 0.341941}
{441, 0.341887}
{442, 0.341867}
{443, 0.341865}
{444, 0.341821}
{445, 0.341820}
{446, 0.341794}
{447, 0.341791}
{448, 0.341785}
{449, 0.341772}
{450, 0.341770}
{451, 0.341766}
{452, 0.341714}
{453, 0.341712}
{454, 0.341702}
{455, 0.341676}
{456, 0.341671}
{457, 0.341666}
{458, 0.341615}
{459, 0.341615}
{460, 0.341613}
{461, 0.341612}
{462, 0.341606}
{463, 0.341565}
{464, 0.341564}
{465, 0.341564}
{466, 0.341560}
{467, 0.341551}
{468, 0.341541}
{469, 0.341483}
{470, 0.341481}
{471, 0.341475}
{472, 0.341474}
{473, 0.341472}
{474, 0.341465}
{475, 0.341465}
{476, 0.341461}
{477, 0.341459}
{478, 0.341337}
{479, 0.341316}
{480, 0.341298}
{481, 0.341218}
{482, 0.341211}
{483, 0.341211}
{484, 0.341211}
{485, 0.341188}
{486, 0.341175}
{487, 0.341139}
{488, 0.341138}
{489, 0.341100}
{490, 0.341100}
{491, 0.341082}
{492, 0.341080}
{493, 0.341077}
{494, 0.341059}
{495, 0.341059}
{496, 0.341057}
{497, 0.341054}
{498, 0.341048}
{499, 0.341016}
{500, 0.340914}
{501, 0.340772}
{502, 0.340753}
{503, 0.340744}
{504, 0.340742}
{505, 0.340738}
{506, 0.340732}
{507, 0.340730}
{508, 0.340723}
{509, 0.340713}
{510, 0.340703}
{511, 0.340702}
{512, 0.340623}
{513, 0.340622}
{514, 0.340622}
{515, 0.340617}
{516, 0.340608}
{517, 0.340595}
{518, 0.340581}
{519, 0.340578}
{520, 0.340578}
{521, 0.340560}
{522, 0.340551}
{523, 0.340548}
{524, 0.340535}
{525, 0.340534}
{526, 0.340502}
{527, 0.340500}
{528, 0.340499}
{529, 0.340496}
{530, 0.340490}
{531, 0.340488}
{532, 0.340477}
{533, 0.340474}
{534, 0.340474}
{535, 0.340467}
{536, 0.340461}
{537, 0.340461}
{538, 0.340456}
{539, 0.340455}
{540, 0.340445}
{541, 0.340432}
{542, 0.340431}
{543, 0.340423}
{544, 0.340419}
{545, 0.340418}
{546, 0.340418}
{547, 0.340414}
{548, 0.340409}
{549, 0.340407}
{550, 0.340392}
{551, 0.340391}
{552, 0.340391}
{553, 0.340384}
{554, 0.340383}
{555, 0.340383}
{556, 0.340377}
{557, 0.340355}
{558, 0.340347}
{559, 0.340337}
{560, 0.340288}
{561, 0.340264}
{562, 0.340264}
{563, 0.340257}
{564, 0.340241}
{565, 0.340183}
{566, 0.340162}
{567, 0.340149}
{568, 0.340138}
{569, 0.340137}
{570, 0.340079}
{571, 0.340077}
{572, 0.340077}
{573, 0.340074}
{574, 0.340074}
{575, 0.340074}
{576, 0.340047}
{577, 0.339973}
{578, 0.339930}
{579, 0.339922}
{580, 0.339918}
{581, 0.339916}
{582, 0.339892}
{583, 0.339892}
{584, 0.339892}
{585, 0.339892}
{586, 0.339887}
{587, 0.339879}
{588, 0.339866}
{589, 0.339861}
{590, 0.339853}
{591, 0.339847}
{592, 0.339819}
{593, 0.339819}
{594, 0.339812}
{595, 0.339811}
{596, 0.339811}
{597, 0.339811}
{598, 0.339781}
{599, 0.339778}
{600, 0.339776}
{601, 0.339758}
{602, 0.339753}
{603, 0.339734}
{604, 0.339734}
{605, 0.339734}
{606, 0.339734}
{607, 0.339733}
{608, 0.339733}
{609, 0.339729}
{610, 0.339729}
{611, 0.339693}
{612, 0.339684}
{613, 0.339684}
{614, 0.339683}
{615, 0.339673}
{616, 0.339670}
{617, 0.339664}
{618, 0.339661}
{619, 0.339660}
{620, 0.339659}
{621, 0.339654}
{622, 0.339654}
{623, 0.339654}
{624, 0.339629}
{625, 0.339629}
{626, 0.339625}
{627, 0.339623}
{628, 0.339620}
{629, 0.339617}
{630, 0.339612}
{631, 0.339612}
{632, 0.339610}
{633, 0.339610}
{634, 0.339593}
{635, 0.339590}
{636, 0.339590}
{637, 0.339576}
{638, 0.339575}
{639, 0.339564}
{640, 0.339545}
{641, 0.339465}
{642, 0.339393}
{643, 0.339392}
{644, 0.339389}
{645, 0.339389}
{646, 0.339379}
{647, 0.339370}
{648, 0.339355}
{649, 0.339310}
{650, 0.339305}
{651, 0.339302}
{652, 0.339282}
{653, 0.339269}
{654, 0.339258}
{655, 0.339257}
{656, 0.339252}
{657, 0.339252}
{658, 0.339245}
{659, 0.339242}
{660, 0.339241}
{661, 0.339239}
{662, 0.339237}
{663, 0.339237}
{664, 0.339236}
{665, 0.339236}
{666, 0.339230}
{667, 0.339225}
{668, 0.339225}
{669, 0.339221}
{670, 0.339218}
{671, 0.339218}
{672, 0.339218}
{673, 0.339195}
{674, 0.339188}
{675, 0.339188}
{676, 0.339187}
{677, 0.339187}
{678, 0.339176}
{679, 0.339172}
{680, 0.339166}
{681, 0.339166}
{682, 0.339166}
{683, 0.339165}
{684, 0.339152}
{685, 0.339140}
{686, 0.339133}
{687, 0.339133}
{688, 0.339092}
{689, 0.339060}
{690, 0.339042}
{691, 0.339041}
{692, 0.339039}
{693, 0.339039}
{694, 0.339008}
{695, 0.339008}
{696, 0.339008}
{697, 0.339008}
{698, 0.339007}
{699, 0.339004}
{700, 0.339003}
{701, 0.338980}
{702, 0.338974}
